record,workout,date,started_utc,routine,kind,timing,minutes,effort_1_5,finger_strain_1_5,daily_target,completed,planned,set,pull,edge_mm,fingers,position,hand,planned_s,held_s,peak_kg,avg_kg,target_low_kg,target_high_kg,max_at_start_kg,outcome,source,notes,ended_utc,time_source,max_reference,started_elapsed_s,ended_elapsed_s,gap_before_s,planned_rest_s,planned_lead_in_s,recorded
set,00000000-0000-0000-0000-000000000164,2026-08-21,,Daily no-hangs,,gauge,,,,,3,,1,,20,IMR,halfCrimp,left,30,15.1,17.6,11.2,,,25.6,completed:3,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000164,2026-08-21,,Daily no-hangs,,gauge,,,,,2,,1,,20,IMR,halfCrimp,right,20,7.5,21.5,10.0,,,23.4,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000164,2026-08-21,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMR,halfCrimp,right,10,5.1,13.0,11.7,9.5,13.0,23.4,completed:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000165,2026-08-21,2026-08-21T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,6,6,,,,,,,,27.7,21.5,19.4,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000165,2026-08-21,,Daily no-hangs,,gauge,,,,,3,,1,,20,IMR,halfCrimp,left,30,15.1,17.6,11.2,,,25.6,completed:3,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000165,2026-08-21,,Daily no-hangs,,gauge,,,,,2,,1,,20,IMR,halfCrimp,right,20,7.5,21.5,10.0,,,23.4,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000165,2026-08-21,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMR,halfCrimp,right,10,5.1,13.0,11.7,9.5,13.0,23.4,completed:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000163,2026-08-20,2026-08-20T09:00:00Z,Daily no-hangs,hang,gauge,26,,5,,3,5,,,,,,,,15.6,20.5,18.4,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000163,2026-08-20,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,left,20,9.3,20.5,18.4,,,29.6,aborted:1|completed:1,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000163,2026-08-20,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,right,20,2.7,8.1,7.3,,,27.4,completed:1|skipped:1,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000163,2026-08-20,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,left,10,3.6,15.6,14.0,9.5,13.0,29.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000162,2026-08-19,2026-08-19T09:00:00Z,Gym,climbVolume,logged,64,5,1,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000161,2026-08-17,2026-08-17T09:00:00Z,Daily no-hangs,hang,gauge,18,2,4,,6,7,,,,,,,,21.5,21.8,19.6,,,,,,"Felt strong on the 20mm 4F HC | second set
kept the shoulders down.",,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000161,2026-08-17,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,10,2.8,14.8,13.3,,,21.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000161,2026-08-17,,Daily no-hangs,,gauge,,,,,3,,1,,20,IMRL,halfCrimp,right,30,12.5,19.7,12.8,,,19.4,completed:3,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000161,2026-08-17,,Daily no-hangs,,gauge,,,,,2,,1,,20,IMRL,halfCrimp,left,30,6.2,21.8,17.4,9.5,13.0,21.6,completed:2|skipped:1,,,,not_recorded,hand_specific,,,,,,3
workout,00000000-0000-0000-0000-000000000159,2026-08-16,2026-08-16T09:00:00Z,Daily no-hangs,hang,gauge,18,,4,,4,5,,,,,,,,13.5,18.5,16.7,,,,,,"Felt strong on the 20mm F2 OH | second set
kept the shoulders down.",,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000159,2026-08-16,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,left,20,2.5,9.7,8.7,9.5,13.0,29.6,completed:1|skipped:1,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000159,2026-08-16,,Daily no-hangs,,gauge,,,,,2,,1,,20,IM,openHand,right,20,5.0,12.0,8.9,,,27.4,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000159,2026-08-16,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,left,10,6.0,18.5,16.7,,,29.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000160,2026-08-16,2026-08-16T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,4,5,,,,,,,,13.5,18.5,16.7,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000160,2026-08-16,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,left,20,2.5,9.7,8.7,9.5,13.0,29.6,completed:1|skipped:1,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000160,2026-08-16,,Daily no-hangs,,gauge,,,,,2,,1,,20,IM,openHand,right,20,5.0,12.0,8.9,,,27.4,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000160,2026-08-16,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,left,10,6.0,18.5,16.7,,,29.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000174,2026-08-16,2026-08-16T09:00:00Z,Daily no-hangs,hang,gauge,21,3,3,,11,12,,,,,,,,84.0,0.0,0.0,,,,,,,,legacy_save_or_end,,,,,,,
workout,00000000-0000-0000-0000-000000000157,2026-08-15,2026-08-15T09:00:00Z,Daily no-hangs,hang,gauge,18,,3,,2,4,,,,,,,,5.6,17.5,15.8,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000157,2026-08-15,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMR,halfCrimp,left,20,3.8,17.5,15.8,,,25.6,completed:1|skipped:1,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000157,2026-08-15,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMR,halfCrimp,right,10,1.0,11.5,10.3,9.5,13.0,23.4,completed:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000157,2026-08-15,,Daily no-hangs,,gauge,,,,,0,,1,,20,IMR,halfCrimp,right,10,0.8,9.7,8.7,,,23.4,aborted:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000158,2026-08-15,2026-08-15T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,2,4,,,,,,,,5.6,17.5,15.8,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000158,2026-08-15,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMR,halfCrimp,left,20,3.8,17.5,15.8,,,25.6,completed:1|skipped:1,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000158,2026-08-15,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMR,halfCrimp,right,10,1.0,11.5,10.3,9.5,13.0,23.4,completed:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000158,2026-08-15,,Daily no-hangs,,gauge,,,,,0,,1,,20,IMR,halfCrimp,right,10,0.8,9.7,8.7,,,23.4,aborted:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000156,2026-08-14,2026-08-14T09:00:00Z,Gym,climbVolume,logged,102,5,3,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000154,2026-08-13,2026-08-13T09:00:00Z,Daily no-hangs,hang,gauge,26,3,4,,4,4,,,,,,,,10.0,18.4,16.6,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000154,2026-08-13,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,left,10,1.2,16.3,14.7,9.5,13.0,29.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000154,2026-08-13,,Daily no-hangs,,gauge,,,,,2,,1,,20,IM,openHand,right,20,3.6,18.4,14.6,,,27.4,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000154,2026-08-13,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,left,10,5.2,17.9,16.1,,,29.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000155,2026-08-13,2026-08-13T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,4,4,,,,,,,,10.0,18.4,16.6,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000155,2026-08-13,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,left,10,1.2,16.3,14.7,9.5,13.0,29.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000155,2026-08-13,,Daily no-hangs,,gauge,,,,,2,,1,,20,IM,openHand,right,20,3.6,18.4,14.6,,,27.4,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000155,2026-08-13,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,left,10,5.2,17.9,16.1,,,29.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000153,2026-08-12,2026-08-12T09:00:00Z,Daily no-hangs,hang,gauge,27,3,5,,5,7,,,,,,,,28.5,20.5,18.4,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000153,2026-08-12,,Daily no-hangs,,gauge,,,,,2,,1,,20,IM,openHand,left,30,15.6,16.8,13.3,,,29.6,aborted:1|completed:2,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000153,2026-08-12,,Daily no-hangs,,gauge,,,,,2,,1,,20,IM,openHand,right,20,7.1,14.0,11.4,,,27.4,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000153,2026-08-12,,Daily no-hangs,,gauge,,,,,1,,1,,20,IM,openHand,right,10,2.0,20.5,18.4,9.5,13.0,27.4,completed:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000153,2026-08-12,,Daily no-hangs,,gauge,,,,,0,,1,,20,IM,openHand,left,10,3.8,10.2,9.2,9.5,13.0,29.6,earlyRelease:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000152,2026-08-11,2026-08-11T09:00:00Z,Daily no-hangs,hang,gauge,21,1,1,,4,4,,,,,,,,12.8,18.4,16.6,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000152,2026-08-11,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,10,5.9,10.7,9.6,9.5,13.0,21.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000152,2026-08-11,,Daily no-hangs,,gauge,,,,,2,,1,,20,IMRL,halfCrimp,right,20,4.5,18.4,12.9,9.5,13.0,19.4,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000152,2026-08-11,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,10,2.4,13.0,11.7,,,21.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000151,2026-08-10,2026-08-10T09:00:00Z,Gym,climbVolume,logged,112,3,2,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000150,2026-08-09,2026-08-09T09:00:00Z,Daily no-hangs,hang,gauge,22,,5,,6,6,,,,,,,,20.0,21.3,19.2,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000150,2026-08-09,,Daily no-hangs,,gauge,,,,,3,,1,,20,IMR,halfCrimp,left,30,9.2,21.3,18.2,,,25.6,completed:3,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000150,2026-08-09,,Daily no-hangs,,gauge,,,,,3,,1,,20,IMR,halfCrimp,right,30,10.8,14.9,11.5,,,23.4,completed:3,,,,not_recorded,hand_specific,,,,,,3
workout,00000000-0000-0000-0000-000000000149,2026-08-08,2026-08-08T09:00:00Z,Daily no-hangs,hang,gauge,23,2,,,3,6,,,,,,,,15.4,18.7,16.8,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000149,2026-08-08,,Daily no-hangs,,gauge,,,,,2,,1,,45,IMRL,sloper,left,20,7.2,11.3,10.0,9.5,13.0,37.6,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000149,2026-08-08,,Daily no-hangs,,gauge,,,,,1,,1,,45,IMRL,sloper,right,20,4.6,18.7,10.2,9.5,13.0,35.4,completed:1|earlyRelease:1,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000149,2026-08-08,,Daily no-hangs,,gauge,,,,,0,,1,,45,IMRL,sloper,right,10,0.0,,,,,35.4,skipped:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000149,2026-08-08,,Daily no-hangs,,gauge,,,,,0,,1,,45,IMRL,sloper,left,10,3.6,18.5,16.7,,,37.6,aborted:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000148,2026-08-07,2026-08-07T09:00:00Z,Daily no-hangs,hang,gauge,26,,,,5,6,,,,,,,,20.3,21.1,19.0,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000148,2026-08-07,,Daily no-hangs,,gauge,,,,,2,,1,,20,IMR,halfCrimp,left,30,4.6,19.9,17.1,,,24.0,aborted:1|completed:2,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000148,2026-08-07,,Daily no-hangs,,gauge,,,,,3,,1,,20,IMR,halfCrimp,right,30,15.7,21.1,16.1,,,23.4,completed:3,,,,not_recorded,hand_specific,,,,,,3
workout,00000000-0000-0000-0000-000000000147,2026-08-06,2026-08-06T09:00:00Z,Weighted hangs,hangManual,logged,25,1,,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000145,2026-08-05,2026-08-05T09:00:00Z,Daily no-hangs,hang,gauge,21,2,4,,3,5,,,,,,,,12.7,18.8,16.9,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000145,2026-08-05,,Daily no-hangs,,gauge,,,,,1,,1,,35,IMT,pinch,left,20,7.7,18.0,13.7,9.5,13.0,32.0,completed:1|earlyRelease:1,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000145,2026-08-05,,Daily no-hangs,,gauge,,,,,2,,1,,35,IMT,pinch,right,20,4.4,18.8,14.0,,,31.4,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000145,2026-08-05,,Daily no-hangs,,gauge,,,,,0,,1,,35,IMT,pinch,left,10,0.6,8.6,7.7,,,32.0,aborted:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000146,2026-08-05,2026-08-05T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,3,5,,,,,,,,12.7,18.8,16.9,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000146,2026-08-05,,Daily no-hangs,,gauge,,,,,1,,1,,35,IMT,pinch,left,20,7.7,18.0,13.7,9.5,13.0,32.0,completed:1|earlyRelease:1,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000146,2026-08-05,,Daily no-hangs,,gauge,,,,,2,,1,,35,IMT,pinch,right,20,4.4,18.8,14.0,,,31.4,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000146,2026-08-05,,Daily no-hangs,,gauge,,,,,0,,1,,35,IMT,pinch,left,10,0.6,8.6,7.7,,,32.0,aborted:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000144,2026-08-04,2026-08-04T09:00:00Z,Daily no-hangs,hang,gauge,24,3,1,,4,6,,,,,,,,15.4,20.9,18.8,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000144,2026-08-04,,Daily no-hangs,,gauge,,,,,3,,1,,20,IMR,halfCrimp,left,30,10.0,20.9,18.2,,,24.0,completed:3,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000144,2026-08-04,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMR,halfCrimp,right,20,3.6,11.7,10.5,,,23.4,completed:1|skipped:1,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000144,2026-08-04,,Daily no-hangs,,gauge,,,,,0,,1,,20,IMR,halfCrimp,right,10,1.8,20.3,18.3,9.5,13.0,23.4,earlyRelease:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000142,2026-08-03,2026-08-03T09:00:00Z,Daily no-hangs,hang,gauge,26,5,,,1,5,,,,,,,,10.2,19.2,17.3,,,,,,"Felt strong on the 20mm 4F HC | second set
kept the shoulders down.",,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000142,2026-08-03,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,30,5.0,18.9,13.6,,,20.0,completed:1|earlyRelease:1|skipped:1,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000142,2026-08-03,,Daily no-hangs,,gauge,,,,,0,,1,,20,IMRL,halfCrimp,right,10,2.8,12.2,11.0,,,19.4,earlyRelease:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000142,2026-08-03,,Daily no-hangs,,gauge,,,,,0,,1,,20,IMRL,halfCrimp,right,10,2.4,19.2,17.3,9.5,13.0,19.4,earlyRelease:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000143,2026-08-03,2026-08-03T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,1,5,,,,,,,,10.2,19.2,17.3,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000143,2026-08-03,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,30,5.0,18.9,13.6,,,20.0,completed:1|earlyRelease:1|skipped:1,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000143,2026-08-03,,Daily no-hangs,,gauge,,,,,0,,1,,20,IMRL,halfCrimp,right,10,2.8,12.2,11.0,,,19.4,earlyRelease:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000143,2026-08-03,,Daily no-hangs,,gauge,,,,,0,,1,,20,IMRL,halfCrimp,right,10,2.4,19.2,17.3,9.5,13.0,19.4,earlyRelease:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000141,2026-08-02,2026-08-02T09:00:00Z,Daily no-hangs,hang,gauge,18,,,,4,5,,,,,,,,14.6,21.4,19.3,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000141,2026-08-02,,Daily no-hangs,,gauge,,,,,2,,1,,20,IMRL,halfCrimp,left,20,7.4,21.4,18.1,9.5,13.0,20.0,completed:2,,,,not_recorded,hand_specific,,,,,,2
set,00000000-0000-0000-0000-000000000141,2026-08-02,,Daily no-hangs,,gauge,,,,,0,,1,,20,IMRL,halfCrimp,right,10,2.2,16.1,14.5,9.5,13.0,19.4,earlyRelease:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000141,2026-08-02,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,10,4.4,17.6,15.8,,,20.0,completed:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000141,2026-08-02,,Daily no-hangs,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,right,10,0.6,19.7,17.7,,,19.4,completed:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000140,2026-08-01,2026-08-01T09:00:00Z,Weighted hangs,hangManual,logged,25,4,,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
