record,workout,date,started_utc,routine,kind,timing,minutes,effort_1_5,finger_strain_1_5,daily_target,completed,planned,set,pull,edge_mm,fingers,position,hand,planned_s,held_s,peak_kg,avg_kg,target_low_kg,target_high_kg,max_at_start_kg,outcome,source,notes,ended_utc,time_source,max_reference,started_elapsed_s,ended_elapsed_s,gap_before_s,planned_rest_s,planned_lead_in_s,recorded
set,00000000-0000-0000-0000-000000000023,2026-08-10,,Routine 2,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,10,10.0,14.0,12.6,,,40.0,completed:1,,,,not_recorded,both_hands_fallback,,,,,,1
set,00000000-0000-0000-0000-000000000023,2026-08-10,,Routine 2,,gauge,,,,,1,,1,,14,IMR,openHand,right,10,10.0,12.0,10.8,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
set,00000000-0000-0000-0000-000000000023,2026-08-10,,Routine 2,,gauge,,,,,1,,1,,20,IM,fullCrimp,both,10,10.0,22.0,19.8,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
workout,00000000-0000-0000-0000-000000000024,2026-08-01,2026-08-01T09:00:00Z,Routine 0,hang,gauge,20,4,4,,3,3,,,,,,,,30.0,23.0,20.7,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000024,2026-08-01,,Routine 0,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,10,10.0,15.0,13.5,,,40.0,completed:1,,,,not_recorded,both_hands_fallback,,,,,,1
set,00000000-0000-0000-0000-000000000024,2026-08-01,,Routine 0,,gauge,,,,,1,,1,,14,IMR,openHand,right,10,10.0,13.0,11.7,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
set,00000000-0000-0000-0000-000000000024,2026-08-01,,Routine 0,,gauge,,,,,1,,1,,20,IM,fullCrimp,both,10,10.0,23.0,20.7,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
workout,00000000-0000-0000-0000-000000000025,2026-07-23,2026-07-23T09:00:00Z,Routine 1,hang,gauge,20,5,5,,3,3,,,,,,,,30.0,24.0,21.6,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000025,2026-07-23,,Routine 1,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,10,10.0,16.0,14.4,,,40.0,completed:1,,,,not_recorded,both_hands_fallback,,,,,,1
set,00000000-0000-0000-0000-000000000025,2026-07-23,,Routine 1,,gauge,,,,,1,,1,,14,IMR,openHand,right,10,10.0,14.0,12.6,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
set,00000000-0000-0000-0000-000000000025,2026-07-23,,Routine 1,,gauge,,,,,1,,1,,20,IM,fullCrimp,both,10,10.0,24.0,21.6,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
workout,00000000-0000-0000-0000-000000000026,2026-07-14,2026-07-14T09:00:00Z,Routine 2,hang,gauge,20,1,1,,3,3,,,,,,,,30.0,25.0,22.5,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000026,2026-07-14,,Routine 2,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,10,10.0,17.0,15.3,,,40.0,completed:1,,,,not_recorded,both_hands_fallback,,,,,,1
set,00000000-0000-0000-0000-000000000026,2026-07-14,,Routine 2,,gauge,,,,,1,,1,,14,IMR,openHand,right,10,10.0,15.0,13.5,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
set,00000000-0000-0000-0000-000000000026,2026-07-14,,Routine 2,,gauge,,,,,1,,1,,20,IM,fullCrimp,both,10,10.0,25.0,22.5,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
workout,00000000-0000-0000-0000-000000000027,2026-07-05,2026-07-05T09:00:00Z,Routine 0,hang,gauge,20,2,2,,3,3,,,,,,,,30.0,26.0,23.4,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000027,2026-07-05,,Routine 0,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,10,10.0,18.0,16.2,,,40.0,completed:1,,,,not_recorded,both_hands_fallback,,,,,,1
set,00000000-0000-0000-0000-000000000027,2026-07-05,,Routine 0,,gauge,,,,,1,,1,,14,IMR,openHand,right,10,10.0,16.0,14.4,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
set,00000000-0000-0000-0000-000000000027,2026-07-05,,Routine 0,,gauge,,,,,1,,1,,20,IM,fullCrimp,both,10,10.0,26.0,23.4,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
max,,2026-07-19,2026-07-19T08:00:00Z,,,,,,,,,,,,20,IMRL,halfCrimp,right,,,36.0,,,,,,measured,,,,,,,,,,
max,,2026-07-29,2026-07-29T08:00:00Z,,,,,,,,,,,,14,IMR,openHand,left,,,22.0,,,,,,measured,,,,,,,,,,
max,,2026-08-23,2026-08-23T08:00:00Z,,,,,,,,,,,,20,IM,fullCrimp,both,,,24.0,,,,,,measured,,,,,,,,,,
