record,workout,date,started_utc,routine,kind,timing,minutes,effort_1_5,finger_strain_1_5,daily_target,completed,planned,set,pull,edge_mm,fingers,position,hand,planned_s,held_s,peak_kg,avg_kg,target_low_kg,target_high_kg,max_at_start_kg,outcome,source,notes,ended_utc,time_source,max_reference,started_elapsed_s,ended_elapsed_s,gap_before_s,planned_rest_s,planned_lead_in_s,recorded
pull,00000000-0000-0000-0000-000000000171,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,5,45,IMRL,sloper,left,10,2.5,9.5,8.6,,,37.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000171,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,6,45,IMRL,sloper,right,10,4.5,17.1,15.4,,,35.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000171,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,7,45,IMRL,sloper,left,10,3.0,11.1,10.0,,,37.6,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000169,2026-08-25,2026-08-25T09:00:00Z,Gym,climbVolume,logged,87,2,2,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000168,2026-08-24,2026-08-24T09:00:00Z,Weighted hangs,hangManual,logged,25,4,,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000167,2026-08-23,2026-08-23T09:00:00Z,Daily no-hangs,hang,gauge,26,,4,,2,4,,,,,,,,9.3,20.6,18.5,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000167,2026-08-23,,Daily no-hangs,,gauge,,,,,,,1,1,45,IMRL,sloper,left,10,4.3,13.3,12.0,9.5,13.0,37.6,aborted,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000167,2026-08-23,,Daily no-hangs,,gauge,,,,,,,1,2,45,IMRL,sloper,right,10,0.0,,,,,35.4,skipped,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000167,2026-08-23,,Daily no-hangs,,gauge,,,,,,,1,3,45,IMRL,sloper,left,10,4.4,19.7,17.7,,,37.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000167,2026-08-23,,Daily no-hangs,,gauge,,,,,,,1,4,45,IMRL,sloper,right,10,0.6,20.6,18.5,9.5,13.0,35.4,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000166,2026-08-22,2026-08-22T09:00:00Z,Gym,climbLimit,logged,84,2,3,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000164,2026-08-21,2026-08-21T09:00:00Z,Daily no-hangs,hang,gauge,19,,,,6,6,,,,,,,,27.7,21.5,19.4,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000164,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,1,20,IMR,halfCrimp,left,10,6.2,8.5,7.7,,,25.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000164,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,2,20,IMR,halfCrimp,right,10,5.8,8.0,7.2,,,23.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000164,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,3,20,IMR,halfCrimp,left,10,3.9,17.6,15.8,,,25.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000164,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,4,20,IMR,halfCrimp,right,10,1.7,21.5,19.4,,,23.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000164,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,5,20,IMR,halfCrimp,left,10,5.0,13.3,12.0,,,25.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000164,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,6,20,IMR,halfCrimp,right,10,5.1,13.0,11.7,9.5,13.0,23.4,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000165,2026-08-21,2026-08-21T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,6,6,,,,,,,,27.7,21.5,19.4,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000165,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,1,20,IMR,halfCrimp,left,10,6.2,8.5,7.7,,,25.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000165,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,2,20,IMR,halfCrimp,right,10,5.8,8.0,7.2,,,23.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000165,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,3,20,IMR,halfCrimp,left,10,3.9,17.6,15.8,,,25.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000165,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,4,20,IMR,halfCrimp,right,10,1.7,21.5,19.4,,,23.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000165,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,5,20,IMR,halfCrimp,left,10,5.0,13.3,12.0,,,25.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000165,2026-08-21,,Daily no-hangs,,gauge,,,,,,,1,6,20,IMR,halfCrimp,right,10,5.1,13.0,11.7,9.5,13.0,23.4,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000163,2026-08-20,2026-08-20T09:00:00Z,Daily no-hangs,hang,gauge,26,,5,,3,5,,,,,,,,15.6,20.5,18.4,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000163,2026-08-20,,Daily no-hangs,,gauge,,,,,,,1,1,20,IM,openHand,left,10,4.4,20.3,18.3,,,29.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000163,2026-08-20,,Daily no-hangs,,gauge,,,,,,,1,2,20,IM,openHand,right,10,2.7,8.1,7.3,,,27.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000163,2026-08-20,,Daily no-hangs,,gauge,,,,,,,1,3,20,IM,openHand,left,10,4.9,20.5,18.4,,,29.6,aborted,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000163,2026-08-20,,Daily no-hangs,,gauge,,,,,,,1,4,20,IM,openHand,right,10,0.0,,,,,27.4,skipped,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000163,2026-08-20,,Daily no-hangs,,gauge,,,,,,,1,5,20,IM,openHand,left,10,3.6,15.6,14.0,9.5,13.0,29.6,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000162,2026-08-19,2026-08-19T09:00:00Z,Gym,climbVolume,logged,64,5,1,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000161,2026-08-17,2026-08-17T09:00:00Z,Daily no-hangs,hang,gauge,18,2,4,,6,7,,,,,,,,21.5,21.8,19.6,,,,,,"Felt strong on the 20mm 4F HC | second set
kept the shoulders down.",,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000161,2026-08-17,,Daily no-hangs,,gauge,,,,,,,1,1,20,IMRL,halfCrimp,left,10,2.8,14.8,13.3,,,21.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000161,2026-08-17,,Daily no-hangs,,gauge,,,,,,,1,2,20,IMRL,halfCrimp,right,10,1.8,12.0,10.8,,,19.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000161,2026-08-17,,Daily no-hangs,,gauge,,,,,,,1,3,20,IMRL,halfCrimp,left,10,5.1,21.8,19.6,9.5,13.0,21.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000161,2026-08-17,,Daily no-hangs,,gauge,,,,,,,1,4,20,IMRL,halfCrimp,right,10,6.1,10.7,9.6,,,19.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000161,2026-08-17,,Daily no-hangs,,gauge,,,,,,,1,5,20,IMRL,halfCrimp,left,10,1.1,8.1,7.3,9.5,13.0,21.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000161,2026-08-17,,Daily no-hangs,,gauge,,,,,,,1,6,20,IMRL,halfCrimp,right,10,4.6,19.7,17.7,,,19.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000161,2026-08-17,,Daily no-hangs,,gauge,,,,,,,1,7,20,IMRL,halfCrimp,left,10,0.0,,,9.5,13.0,21.6,skipped,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000159,2026-08-16,2026-08-16T09:00:00Z,Daily no-hangs,hang,gauge,18,,4,,4,5,,,,,,,,13.5,18.5,16.7,,,,,,"Felt strong on the 20mm F2 OH | second set
kept the shoulders down.",,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000159,2026-08-16,,Daily no-hangs,,gauge,,,,,,,1,1,20,IM,openHand,left,10,2.5,9.7,8.7,9.5,13.0,29.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000159,2026-08-16,,Daily no-hangs,,gauge,,,,,,,1,2,20,IM,openHand,right,10,3.3,8.8,7.9,,,27.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000159,2026-08-16,,Daily no-hangs,,gauge,,,,,,,1,3,20,IM,openHand,left,10,0.0,,,9.5,13.0,29.6,skipped,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000159,2026-08-16,,Daily no-hangs,,gauge,,,,,,,1,4,20,IM,openHand,right,10,1.7,12.0,10.8,,,27.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000159,2026-08-16,,Daily no-hangs,,gauge,,,,,,,1,5,20,IM,openHand,left,10,6.0,18.5,16.7,,,29.6,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000160,2026-08-16,2026-08-16T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,4,5,,,,,,,,13.5,18.5,16.7,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000160,2026-08-16,,Daily no-hangs,,gauge,,,,,,,1,1,20,IM,openHand,left,10,2.5,9.7,8.7,9.5,13.0,29.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000160,2026-08-16,,Daily no-hangs,,gauge,,,,,,,1,2,20,IM,openHand,right,10,3.3,8.8,7.9,,,27.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000160,2026-08-16,,Daily no-hangs,,gauge,,,,,,,1,3,20,IM,openHand,left,10,0.0,,,9.5,13.0,29.6,skipped,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000160,2026-08-16,,Daily no-hangs,,gauge,,,,,,,1,4,20,IM,openHand,right,10,1.7,12.0,10.8,,,27.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000160,2026-08-16,,Daily no-hangs,,gauge,,,,,,,1,5,20,IM,openHand,left,10,6.0,18.5,16.7,,,29.6,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000174,2026-08-16,2026-08-16T09:00:00Z,Daily no-hangs,hang,gauge,21,3,3,,11,12,,,,,,,,84.0,0.0,0.0,,,,,,,,legacy_save_or_end,,,,,,,
workout,00000000-0000-0000-0000-000000000157,2026-08-15,2026-08-15T09:00:00Z,Daily no-hangs,hang,gauge,18,,3,,2,4,,,,,,,,5.6,17.5,15.8,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000157,2026-08-15,,Daily no-hangs,,gauge,,,,,,,1,1,20,IMR,halfCrimp,left,10,0.0,,,,,25.6,skipped,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000157,2026-08-15,,Daily no-hangs,,gauge,,,,,,,1,2,20,IMR,halfCrimp,right,10,1.0,11.5,10.3,9.5,13.0,23.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000157,2026-08-15,,Daily no-hangs,,gauge,,,,,,,1,3,20,IMR,halfCrimp,left,10,3.8,17.5,15.8,,,25.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000157,2026-08-15,,Daily no-hangs,,gauge,,,,,,,1,4,20,IMR,halfCrimp,right,10,0.8,9.7,8.7,,,23.4,aborted,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000158,2026-08-15,2026-08-15T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,2,4,,,,,,,,5.6,17.5,15.8,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000158,2026-08-15,,Daily no-hangs,,gauge,,,,,,,1,1,20,IMR,halfCrimp,left,10,0.0,,,,,25.6,skipped,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000158,2026-08-15,,Daily no-hangs,,gauge,,,,,,,1,2,20,IMR,halfCrimp,right,10,1.0,11.5,10.3,9.5,13.0,23.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000158,2026-08-15,,Daily no-hangs,,gauge,,,,,,,1,3,20,IMR,halfCrimp,left,10,3.8,17.5,15.8,,,25.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000158,2026-08-15,,Daily no-hangs,,gauge,,,,,,,1,4,20,IMR,halfCrimp,right,10,0.8,9.7,8.7,,,23.4,aborted,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000156,2026-08-14,2026-08-14T09:00:00Z,Gym,climbVolume,logged,102,5,3,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000154,2026-08-13,2026-08-13T09:00:00Z,Daily no-hangs,hang,gauge,26,3,4,,4,4,,,,,,,,10.0,18.4,16.6,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000154,2026-08-13,,Daily no-hangs,,gauge,,,,,,,1,1,20,IM,openHand,left,10,1.2,16.3,14.7,9.5,13.0,29.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000154,2026-08-13,,Daily no-hangs,,gauge,,,,,,,1,2,20,IM,openHand,right,10,2.8,15.6,14.0,,,27.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000154,2026-08-13,,Daily no-hangs,,gauge,,,,,,,1,3,20,IM,openHand,left,10,5.2,17.9,16.1,,,29.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000154,2026-08-13,,Daily no-hangs,,gauge,,,,,,,1,4,20,IM,openHand,right,10,0.8,18.4,16.6,,,27.4,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000155,2026-08-13,2026-08-13T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,4,4,,,,,,,,10.0,18.4,16.6,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000155,2026-08-13,,Daily no-hangs,,gauge,,,,,,,1,1,20,IM,openHand,left,10,1.2,16.3,14.7,9.5,13.0,29.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000155,2026-08-13,,Daily no-hangs,,gauge,,,,,,,1,2,20,IM,openHand,right,10,2.8,15.6,14.0,,,27.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000155,2026-08-13,,Daily no-hangs,,gauge,,,,,,,1,3,20,IM,openHand,left,10,5.2,17.9,16.1,,,29.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000155,2026-08-13,,Daily no-hangs,,gauge,,,,,,,1,4,20,IM,openHand,right,10,0.8,18.4,16.6,,,27.4,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000153,2026-08-12,2026-08-12T09:00:00Z,Daily no-hangs,hang,gauge,27,3,5,,5,7,,,,,,,,28.5,20.5,18.4,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000153,2026-08-12,,Daily no-hangs,,gauge,,,,,,,1,1,20,IM,openHand,left,10,6.2,12.4,11.2,,,29.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000153,2026-08-12,,Daily no-hangs,,gauge,,,,,,,1,2,20,IM,openHand,right,10,5.5,12.3,11.1,,,27.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000153,2026-08-12,,Daily no-hangs,,gauge,,,,,,,1,3,20,IM,openHand,left,10,3.7,15.6,14.0,,,29.6,aborted,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000153,2026-08-12,,Daily no-hangs,,gauge,,,,,,,1,4,20,IM,openHand,right,10,2.0,20.5,18.4,9.5,13.0,27.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000153,2026-08-12,,Daily no-hangs,,gauge,,,,,,,1,5,20,IM,openHand,left,10,5.7,16.8,15.1,,,29.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000153,2026-08-12,,Daily no-hangs,,gauge,,,,,,,1,6,20,IM,openHand,right,10,1.6,14.0,12.6,,,27.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000153,2026-08-12,,Daily no-hangs,,gauge,,,,,,,1,7,20,IM,openHand,left,10,3.8,10.2,9.2,9.5,13.0,29.6,earlyRelease,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000152,2026-08-11,2026-08-11T09:00:00Z,Daily no-hangs,hang,gauge,21,1,1,,4,4,,,,,,,,12.8,18.4,16.6,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000152,2026-08-11,,Daily no-hangs,,gauge,,,,,,,1,1,20,IMRL,halfCrimp,left,10,5.9,10.7,9.6,9.5,13.0,21.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000152,2026-08-11,,Daily no-hangs,,gauge,,,,,,,1,2,20,IMRL,halfCrimp,right,10,2.5,11.1,10.0,9.5,13.0,19.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000152,2026-08-11,,Daily no-hangs,,gauge,,,,,,,1,3,20,IMRL,halfCrimp,left,10,2.4,13.0,11.7,,,21.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000152,2026-08-11,,Daily no-hangs,,gauge,,,,,,,1,4,20,IMRL,halfCrimp,right,10,2.0,18.4,16.6,9.5,13.0,19.4,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000151,2026-08-10,2026-08-10T09:00:00Z,Gym,climbVolume,logged,112,3,2,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000150,2026-08-09,2026-08-09T09:00:00Z,Daily no-hangs,hang,gauge,22,,5,,6,6,,,,,,,,20.0,21.3,19.2,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000150,2026-08-09,,Daily no-hangs,,gauge,,,,,,,1,1,20,IMR,halfCrimp,left,10,2.3,18.2,16.4,,,25.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000150,2026-08-09,,Daily no-hangs,,gauge,,,,,,,1,2,20,IMR,halfCrimp,right,10,6.4,11.5,10.3,,,23.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000150,2026-08-09,,Daily no-hangs,,gauge,,,,,,,1,3,20,IMR,halfCrimp,left,10,4.9,21.3,19.2,,,25.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000150,2026-08-09,,Daily no-hangs,,gauge,,,,,,,1,4,20,IMR,halfCrimp,right,10,3.3,14.7,13.2,,,23.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000150,2026-08-09,,Daily no-hangs,,gauge,,,,,,,1,5,20,IMR,halfCrimp,left,10,2.0,19.9,17.9,,,25.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000150,2026-08-09,,Daily no-hangs,,gauge,,,,,,,1,6,20,IMR,halfCrimp,right,10,1.1,14.9,13.4,,,23.4,completed,,,,not_recorded,hand_specific,,,,,,
